# coordonnees temporelle et spatiales du ballon
###############################################
t (s);X (m);Y (m)
0.04;5.18494643678042;2.27361287602136
0.12;4.82449561497216;2.71724465670846
0.2;4.43631780687095;3.09155897166319
0.28;4.08973047820915;3.41041931403204
0.36;3.72927965640089;3.673825683815
0.44;3.36882883459263;3.86791458786561
0.52;3.00837801278436;4.00654951933032
0.6;2.6479271909761;4.08973047820915
0.68;2.27361287602136;4.08973047820915
0.76;1.92702554735957;4.06200349191621
0.84;1.58043821869778;3.96495903989091
0.92;1.20612390374304;3.79859712213325
1;0.859536575081246;3.5767812317897
1.08;0.499085753272982;3.2856478757138
1.16;0.152498424611189;2.939060547052
